seqid	qlen	length	pident	mismatch	qstart	qend	sstart	send	gaps	evalue	taxonomy
5954;size=43;	752	365	90.137	31	391	752	656	1018	5	5.34e-127	cellular organisms; Eukaryota; Haptista; Centroplasthelida; Pterocystida; Pterista; Pterocystidae; Chlamydaster; Chlamydaster sterni
8955;size=6;	600	168	98.214	2	433	600	1592	1758	1	9.79e-74	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
10280;size=38;	606	339	88.791	24	277	606	1590	1923	14	4.37e-107	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4352;size=9;	686	350	88.0	23	343	686	718	1054	19	8.35e-105	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Zoopagomycota; Entomophthoromycotina; Basidiobolomycetes; Basidiobolales; Basidiobolaceae; Basidiobolus; unclassified Basidiobolus; Basidiobolus sp.
1741;size=20;	674	676	96.45	17	1	674	2774	3444	7	0.0	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Lepidodinium; Lepidodinium chlorophorum
11851;size=5421;	438	65	100.0	0	1	65	364	428	0	3.48e-22	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; environmental samples; uncultured beta proteobacterium
7782;size=3;	663	674	80.712	101	1	663	345	1000	29	2.15e-135	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Gymnodiniales; Gymnodiniaceae; Margalefidinium; Margalefidinium polykrikoides
7160;size=7;	653	333	95.195	14	321	653	1148	1478	2	9.68e-144	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
8611;size=3;	472	268	98.134	4	205	472	3113	2847	1	4.21e-126	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Appendicularia; Copelata; Oikopleuridae; Oikopleura; Oikopleura dioica
537;size=6;	641	606	99.175	5	1	606	275	880	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Zoopagomycota; Entomophthoromycotina; Entomophthoromycetes; Entomophthorales; Ancylistaceae; Conidiobolus; Conidiobolus lamprauges
1163;size=31;	647	296	83.446	41	359	647	1522	1816	8	1.7800000000000002e-66	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
3489;size=10;	715	368	86.685	40	354	715	745	1109	9	6.739999999999999e-106	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Leptomitales; Leptomitales incertae sedis; Apodachlya; Apodachlya minima
4160;size=3;	463	434	86.406	59	12	445	3526866	3527299	0	6.85e-129	cellular organisms; Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae; Polyangium; Polyangium aurulentum
5124;size=30;	587	587	96.934	18	1	587	365	951	0	0.0	cellular organisms; Eukaryota; Haptista; Centroplasthelida; Meringosphaera; Meringosphaera mediterranea
340;size=14;	689	200	95.5	7	491	689	687	885	2	1.8699999999999998e-81	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Bryophyta; Bryophytina; Bryopsida; Bryidae; Hypnanae; Hookeriales; Daltoniaceae; Leskeodon; Leskeodon cubensis
2617;size=4;	647	320	85.938	39	330	647	611	926	6	4.82e-87	cellular organisms; Eukaryota; Sar; Alveolata; Colpodellida; Vitrellaceae; Piridium; Piridium sociabile
6814;size=3;	761	372	87.903	35	399	761	434	804	10	9.18e-115	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Pythiales; Pythiaceae; Salispina; unclassified Salispina; Salispina sp.
7392;size=21;	673	75	98.667	1	1	75	981	1055	0	7.080000000000001e-26	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
3827;size=10;	793	89	92.135	6	1	88	327	415	1	5.0699999999999994e-23	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Platyhelminthes; Rhabditophora; Prolecithophora; Proporata; Pseudostomidae; Allostoma; Allostoma catinosum
5641;size=11;	679	344	88.372	31	338	679	3095	3431	9	1.37e-107	cellular organisms; Eukaryota; Opisthokonta; Aphelida; Aphelidea; Aphelidiaceae; unclassified Aphelidiaceae; Aphelidiaceae sp.
11787;size=58;	624	203	91.626	14	422	624	1257	1456	3	2.85e-69	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
12207;size=10;	715	157	92.994	11	559	715	978	1134	0	9.359999999999999e-55	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Platyhelminthes; Rhabditophora; Rhabdocoela; Kalyptorhynchia; Eukalyptorhynchia; Polycystididae; Psammopolycystis; unclassified Psammopolycystis; Psammopolycystis sp. n. TJ-2014
12575;size=11;	676	299	88.963	30	378	676	631	926	3	6.44e-96	cellular organisms; Eukaryota; Sar; Alveolata; Colpodellida; Vitrellaceae; Piridium; Piridium sociabile
6298;size=12;	790	368	85.87	42	431	790	3257	3622	10	7.54e-101	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Gastrotricha; Chaetonotida; Paucitubulatina; Chaetonotidae; Chaetonotus; unclassified Chaetonotus; Chaetonotus sp. 2 MK-2019
8451;size=32;	655	177	93.22	11	480	655	81	257	1	1.09e-63	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
12785;size=7;	564	147	98.639	2	418	564	1612	1758	0	2.58e-64	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
111;size=3;	688	390	84.872	52	2	387	1928044	1927658	7	5.04e-102	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ralstonia; Ralstonia solanacearum species complex; Ralstonia pseudosolanacearum
6889;size=56;	546	548	92.336	37	1	546	233	777	5	0.0	cellular organisms; Eukaryota; Haptista; Haptophyta; environmental samples; Haptophyta environmental samples
2335;size=8;	553	64	100.0	0	1	64	819	882	0	1.6100000000000001e-21	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
9255;size=3;	707	297	89.899	21	416	707	1	293	9	4.04e-98	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
432;size=30;	748	751	88.815	60	1	748	1178	1907	24	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
5779;size=14;	764	342	92.69	15	426	764	1538	1872	10	1.94e-131	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
712;size=3;	720	246	98.78	0	1	246	448	690	3	1.86e-116	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Candidatus Nanopelagicales; Candidatus Nanopelagicaceae; Candidatus Planktophila; environmental samples; uncultured Candidatus Planktophila sp.
2685;size=730;	1264	357	89.636	30	450	802	751	1104	7	4.3e-120	cellular organisms; Eukaryota; Opisthokonta; Choanoflagellata; Acanthoecida; Stephanoecidae; Stephanoeca; Stephanoeca diplocostata
1818;size=5;	766	349	85.387	35	423	766	416	753	16	2.66e-90	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales; Discinaceae; Gyromitra; Gyromitra leucoxantha
9185;size=7;	600	366	88.798	28	244	600	1114	1475	13	4.2700000000000005e-117	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4561;size=6;	709	146	91.781	12	564	709	2448	2593	0	5.620000000000001e-47	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4694;size=748;	469	471	97.877	8	1	469	3188	3658	2	0.0	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Mamiellaceae; Mamiella; Mamiella gilva
4246;size=10;	559	318	97.799	6	237	554	655	971	1	1.75e-150	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Podoplea; Polyarthra; Longipediidae; Longipedia; Longipedia kikuchii
25;size=55;	590	470	90.213	33	1	459	468	1	13	1.41e-166	cellular organisms; Eukaryota; Discoba; Euglenozoa; Kinetoplastea; unclassified Kinetoplastida; Kinetoplastida sp. LDR2000
3180;size=9;	829	373	91.421	21	458	829	1498	1860	11	2.1e-136	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
5176;size=110;	666	667	99.4	3	1	666	900	1566	1	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
5575;size=33;	536	536	94.963	17	1	536	2350	2875	10	0.0	cellular organisms; Eukaryota; Sar; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyceae; Bacillariophycidae; Naviculales; Naviculaceae; Navicula; unclassified Navicula; Navicula sp.
5964;size=7;	642	198	94.444	4	445	642	1907	2097	7	2.26e-75	cellular organisms; Eukaryota; Discoba; Euglenozoa; Kinetoplastea; Metakinetoplastina; Trypanosomatida; Trypanosomatidae; Trypanosoma; Trypanosoma with unspecified subgenus; Trypanosoma conorhini
7192;size=12;	417	142	87.324	14	278	417	450049	449910	4	6.99e-34	cellular organisms; Bacteria; Bacteria incertae sedis; Bacteria candidate phyla; Patescibacteria group; Parcubacteria group; Candidatus Campbellbacteria; unclassified Candidatus Campbellbacteria; Candidatus Campbellbacteria bacterium
10824;size=64;	700	700	97.286	19	1	700	292	991	0	0.0	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Saprolegniales; Saprolegniaceae; Aphanomyces; Aphanomyces astaci
8528;size=7;	649	164	89.024	18	486	649	737	900	0	5.120000000000001e-47	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Lycopodiopsida; Selaginellales; Selaginellaceae; Selaginella; Selaginella douglasii
11351;size=17;	1233	701	93.723	38	1	699	304	1000	6	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Pteriomorphia; Mytilida; Mytiloidea; Mytilidae; Brachidontinae; Brachidontes; unclassified Brachidontes; Brachidontes sp. Lake2_H2
528;size=7;	646	338	92.308	22	311	646	663	998	4	2.7200000000000004e-129	cellular organisms; Eukaryota; Opisthokonta; Choanoflagellata; Craspedida; Salpingoecidae; Hartaetosiga; Hartaetosiga minima
3706;size=7;	662	287	93.031	12	1	283	1202	1484	8	7.980000000000001e-110	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4612;size=476;	584	263	98.859	2	322	584	1	262	1	1.4699999999999999e-126	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
10366;size=11;	607	373	85.523	31	249	607	387	750	23	1.6e-96	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Cnidaria; Anthozoa; Octocorallia; Malacalcyonacea; Alcyoniidae; Sarcophyton; unclassified Sarcophyton (in: soft corals); Sarcophyton sp. KE-262
10580;size=12;	1035	114	91.228	8	488	600	1668	1556	2	8.530000000000001e-32	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
10173;size=6;	781	719	87.9	77	1	713	70	784	10	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Annelida; Clitellata; Oligochaeta; Enchytraeida; Enchytraeidae; Enchytraeus; Enchytraeus cf. crypticus SL-2017
7260;size=15;	700	188	96.809	6	513	700	707	894	0	2.46e-80	cellular organisms; Eukaryota; Sar; Alveolata; Perkinsozoa; Parviluciferaceae; Tuberlatum; Tuberlatum coatsi
5753;size=62;	491	166	92.169	13	326	491	375	540	0	1.35e-56	cellular organisms; Eukaryota; Sar; Stramenopiles; environmental samples; uncultured stramenopile
1919;size=8;	479	141	100.0	0	339	479	1277	1417	0	2.1700000000000002e-64	cellular organisms; Eukaryota; Sar; Alveolata; Colponemida; Acavomonidia; Acavomonas; Acavomonas peruviana
2155;size=3;	783	783	97.573	13	1	783	344	1120	6	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Gastrotricha; Chaetonotida; Paucitubulatina; Chaetonotidae; Chaetonotus; Chaetonotus hornsundi
4406;size=3;	571	162	96.296	5	410	571	864	1024	1	2.02e-65	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Mucoromycota; Mucoromycotina; Mucoromycetes; Mucorales; Phycomycetaceae; Spinellus; Spinellus fusiger
1609;size=12;	694	75	94.667	4	4	78	784	858	0	7.37e-21	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
5657;size=6;	792	362	89.779	26	431	792	1635	1985	11	5.680000000000001e-122	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2856;size=6;	786	77	94.805	4	2	78	1212	1288	0	6.49e-22	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
10593;size=25;	555	555	98.198	10	1	555	945	1499	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
10947;size=3;	847	373	89.544	26	475	847	793	1152	13	3.64e-124	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Chelicerata; Arachnida; Acari; Acariformes; Trombidiformes; Prostigmata; Eupodina; Bdelloidea; Bdellidae; Cyta; unclassified Cyta; Cyta sp. BMOC 17-0901-130
6971;size=12;	641	606	99.505	3	1	606	275	880	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Zoopagomycota; Entomophthoromycotina; Entomophthoromycetes; Entomophthorales; Ancylistaceae; Conidiobolus; Conidiobolus lamprauges
704;size=3;	613	613	88.091	50	1	613	1033	1622	23	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Ustilaginomycotina; Malasseziomycetes; Malasseziales; environmental samples; uncultured Malasseziales
209;size=10;	795	71	97.183	1	1	70	1157	1227	1	2.36e-21	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
6125;size=4;	587	608	83.224	65	1	587	296	887	37	3.11e-143	cellular organisms; Eukaryota; Discoba; Euglenozoa; Kinetoplastea; Metakinetoplastina; Neobodonida; Neobodo; Neobodo saliens
7263;size=387;	778	202	96.04	6	578	778	780	980	2	3.53e-84	cellular organisms; Eukaryota; Sar; Stramenopiles; Ochrophyta; Raphidophyceae; Chattonellales; Chattonellaceae; Chattonella; Chattonella marina complex sp.
1002;size=55;	764	344	88.372	31	424	764	1693	2030	9	1.55e-107	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
7453;size=177;	503	503	98.608	7	1	503	234	736	0	0.0	cellular organisms; Eukaryota; Haptista; Haptophyta; environmental samples; Haptophyta environmental samples
5684;size=954;	467	469	97.868	8	1	467	3190	3658	2	0.0	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Mamiellaceae; Mamiella; Mamiella gilva
5165;size=3;	568	298	98.993	3	271	568	1774	2071	0	1.39e-146	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
1939;size=15;	789	348	88.218	32	450	789	1481	1827	9	4.47e-108	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
9459;size=8;	766	97	92.784	5	1	95	1233	1329	2	1.74e-27	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
9786;size=19;	542	145	97.931	3	398	542	1242	1386	0	1.4899999999999999e-61	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
1134;size=37;	643	72	95.833	3	1	72	982	1053	0	6.790000000000001e-21	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
9496;size=23;	620	328	97.561	7	293	620	242	568	1	2.51e-154	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Tetraselmis; unclassified Tetraselmis; Tetraselmis sp. NK
2696;size=6;	569	311	91.318	24	261	569	694	1003	3	1.13e-112	cellular organisms; Eukaryota; Opisthokonta; Choanoflagellata; Acanthoecida; Acanthoecidae; Helgoeca; Helgoeca nana
360;size=4;	749	192	94.792	7	560	749	745	935	3	9.55e-75	cellular organisms; Eukaryota; Sar; Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Stichotrichia; Urostylida; Holostichidae; Holosticha; Holosticha diademata
550;size=3;	605	166	87.349	21	440	605	116	281	0	3.7e-43	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2319;size=39;	735	737	96.879	20	1	735	1324	2059	3	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
5321;size=4;	636	354	87.288	28	285	636	1531	1869	17	1.29e-102	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
8903;size=17;	731	731	99.453	4	1	731	1253	1983	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
9395;size=8;	522	157	98.089	3	366	522	476	632	0	3.05e-68	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Chytridiomycota; environmental samples; uncultured Chytridiomycota
4003;size=6;	576	589	82.173	62	1	576	1003	1561	43	5.2199999999999996e-126	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
7194;size=24;	1338	189	97.354	5	609	797	818	1006	0	2.88e-82	cellular organisms; Eukaryota; Opisthokonta; Choanoflagellata; Acanthoecida; Acanthoecidae; Savillea; Savillea micropora
7729;size=11;	931	155	91.613	13	777	931	799	953	0	3.46e-50	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; Santalales; Comandraceae; Comandra; Comandra umbellata
580;size=4;	776	147	91.837	11	630	776	702	847	1	6.180000000000001e-47	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Annelida; Clitellata; Hirudinea; Hirudinida; Oceanobdelliformes; Piscicolidae; Myzobdella; Myzobdella lugubris
5710;size=12;	797	363	90.634	28	434	796	1717	2073	6	3.39e-129	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
5561;size=122;	470	470	97.447	11	1	470	568661	569129	1	0.0	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Mamiellales; Mamiellaceae; Mantoniella; Mantoniella tinhauana
6524;size=12;	756	308	97.078	4	3	309	1203	1506	5	2.45e-140	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
13037;size=74;	613	72	97.222	2	1	72	1579	1650	0	1.39e-22	cellular organisms; Eukaryota; Eukaryota incertae sedis; Picozoa; unclassified Picozoa; Picobiliphyte sp. MS584-11
5380;size=9;	658	662	84.743	77	2	658	786	1428	24	9.290000000000001e-179	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
1663;size=16;	602	605	93.388	35	1	602	144	746	5	0.0	cellular organisms; Eukaryota; Haptista; Haptophyta; Pavlovales; Pavlovaceae; Exanthemachrysis; unclassified Exanthemachrysis; Exanthemachrysis sp. EMB-2011
7591;size=89;	443	254	100.0	0	190	443	437	690	0	3.04e-127	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Nitrosomonadales; Methylophilaceae; Candidatus Methylopumilus; Candidatus Methylopumilus turicensis
7131;size=19;	707	140	95.0	7	568	707	878	1017	0	5.57e-52	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Platyhelminthes; Rhabditophora; Seriata; Tricladida; Continenticola; Geoplanoidea; Dugesiidae; Schmidtea; Schmidtea nova
3627;size=5;	678	607	97.858	10	3	609	269	872	3	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Gymnoplea; Calanoida; Clausocalanidae; Clausocalanus; Clausocalanus furcatus
3963;size=3;	785	358	97.207	9	428	785	14693	14337	1	1.4700000000000001e-167	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Oligostraca; Ostracoda; Podocopa; Podocopida; Cypridocopina; Cypridoidea; Cyprididae; Notodromas; Notodromas monacha
4387;size=792;	938	84	97.619	0	484	565	345	428	2	1.67e-28	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; environmental samples; uncultured beta proteobacterium
2639;size=3;	577	322	96.584	11	254	575	1568	1889	0	1.41e-146	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Podoplea; Cyclopoida; Cyclopidae; Thermocyclops; Thermocyclops oithonoides
231;size=13;	553	315	86.032	35	244	553	413	723	9	6.84e-85	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycotina incertae sedis; Thelocarpales; Thelocarpaceae; Thelocarpon; Thelocarpon laureri
3813;size=8;	664	259	96.911	7	1	258	356	614	1	6.14e-116	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
12030;size=8;	646	645	97.674	13	2	646	934	1576	2	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
12361;size=5;	658	658	95.289	24	1	658	822	1472	7	0.0	cellular organisms; Eukaryota; Opisthokonta; Choanoflagellata; Craspedida; Salpingoecidae; Monosiga; Monosiga brevicollis
2441;size=38;	530	533	96.435	14	1	529	339	870	5	0.0	cellular organisms; Eukaryota; Rhodophyta; Florideophyceae; Corallinophycidae; Sporolithales; Sporolithaceae; Sporolithon; Sporolithon ptychoides
273;size=7;	682	324	85.185	40	360	682	796	1112	8	1.1e-83	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Cnidaria; Anthozoa; Ceriantharia; Spirularia; Cerianthidae; Cerianthus; Cerianthus cf. mortenseni ACFM-2019
88;size=9;	907	680	90.588	61	229	907	15014	14337	3	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Oligostraca; Ostracoda; Podocopa; Podocopida; Cypridocopina; Cypridoidea; Cyprididae; Notodromas; Notodromas monacha
2008;size=4;	765	249	85.944	23	520	765	815	1054	12	1.66e-62	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Mucoromycota; Glomeromycotina; Glomeromycetes; Diversisporales; Diversisporaceae; Diversispora; unclassified Diversispora; Diversispora sp. EE1
10077;size=6;	887	144	91.667	12	744	887	1581	1724	0	9.2e-46	cellular organisms; Eukaryota; Opisthokonta; Metazoa; environmental samples; Metazoa environmental sample
1998;size=351;	1254	311	90.675	19	467	776	1575	1876	10	2.6e-107	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
6599;size=1506;	928	106	87.736	11	427	531	1223	1119	2	2.15e-22	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
9829;size=10;	674	681	92.07	39	1	674	358	1030	15	0.0	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; environmental samples; uncultured marine dinoflagellate
6506;size=38;	577	342	98.83	4	1	342	289	630	0	2.28e-169	cellular organisms; Eukaryota; Sar; Rhizaria; Retaria; Acantharea; Arthracanthida; Phyllacantha; Phyllostauridae; Acanthostaurus; Acanthostaurus purpurascens
773;size=43;	692	705	88.369	59	1	692	2182	2876	23	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
8741;size=7;	722	312	84.295	38	413	722	792	1094	11	3.31e-74	cellular organisms; Eukaryota; Glaucocystophyceae; Glaucocystales; Glaucocystaceae; Glaucocystis; Glaucocystis nostochinearum
8658;size=19;	688	219	90.868	19	358	576	1261	1478	1	1.1300000000000002e-73	cellular organisms; Eukaryota; Sar; Alveolata; environmental samples; uncultured marine alveolate
258;size=131;	701	360	92.222	27	342	701	1579	1937	1	1.05e-138	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4959;size=6;	832	305	85.574	40	531	832	579	882	4	8.19e-81	cellular organisms; Eukaryota; Sar; Stramenopiles; Ochrophyta; PX clade; Phaeophyceae; Sphacelariales; Cladostephaceae; Cladostephus; Cladostephus spongiosus
10287;size=19;	884	370	84.865	38	519	884	1444	1799	18	5.14e-93	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4674;size=6;	811	147	89.116	14	666	811	13017011	13016866	2	3.03e-40	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; commelinids; Poales; Poaceae; BOP clade; Pooideae; Triticodae; Triticeae; Triticinae; Aegilops; Aegilops umbellulata
1233;size=22;	510	259	84.556	37	245	502	840930	841186	3	3.88e-62	cellular organisms; Bacteria; Bacteria incertae sedis; Bacteria candidate phyla; Patescibacteria group; Parcubacteria group; Candidatus Moraniibacteriota; unclassified Candidatus Moraniibacteriota; Candidatus Moraniibacteriota bacterium
3535;size=168;	627	314	88.217	35	315	627	614	926	2	3.55e-98	cellular organisms; Eukaryota; Sar; Alveolata; Colpodellida; Vitrellaceae; Piridium; Piridium sociabile
7648;size=65;	506	507	95.069	24	1	506	232	738	1	0.0	cellular organisms; Eukaryota; Haptista; Haptophyta; environmental samples; Haptophyta environmental samples
8740;size=6;	683	347	79.539	47	349	683	863	1197	24	1.15e-53	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Actinopterygii; Actinopteri; Neopterygii; Teleostei; Osteoglossocephalai; Clupeocephala; Euteleosteomorpha; Neoteleostei; Eurypterygia; Ctenosquamata; Acanthomorphata; Euacanthomorphacea; Percomorphaceae; Carangaria; Carangiformes; Carangidae; Trachinotus; Trachinotus blochii
3196;size=5;	739	352	86.364	42	389	739	1507	1853	6	9.090000000000001e-100	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
